C,,,
1,C,E,G
4,F,A,C
5,G,B,D
,,,
a,,,
1,A,C,E
4,D,F,A
5,E,G#,B
,,,
G,,,
1,G,B,D
4,C,E,G
5,D,F#,A
,,,
F,,,
1,F,A,C
4,B-,D,F
5,C,E,G
