C major,0
a minor,1
G major,2
e minor,3
D major,4
b minor,5
A major,6
f# minor,7
E major,8
c# minor,9
B major,10
g# minor,11
F major,12
d minor,13
B- major,14
g minor,15
E- major,16
c minor,17
A- major,18
f minor,19
D- major,20
b- minor,21
G- major,22
e- minor,23
C# major,20
a# minor,21
F# major,22
d# minor,23
C- major,10
a- minor,11
